# -----------------------------------------------------------------------
# --- OP 1 - WS 8.0 - RPM 4.00 
# -----------------------------------------------------------------------
# --- "Selected" modes
# ID; Freq [Hz]; Zeta [-]; Mode content
054 ;    0.134 ;  0.0818 ; NoMax - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld coll., node 19/s
055 ;    0.134 ;  0.0818 ; NoMax - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld coll., node 19/s
# --- Skipped (Damping outside of `posDampRange`=[1e-05, 0.96])
001 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 18/s - AD vind at Bld coll., node 7/s - AD vind at Bld coll., node 12/s - AD vind at Bld coll., node 14/s - AD vind at Bld coll., node 15/s
002 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 8/s - AD vind at Bld coll., node 19/s
003 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 10/s - AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 4/s
004 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 5/s - AD vind at Bld coll., node 10/s - AD vind at Bld coll., node 6/s - AD vind at Bld coll., node 6/s - AD vind at Bld coll., node 3/s - AD vind at Bld coll., node 9/s - AD vind at Bld coll., node 3/s - AD vind at Bld coll., node 4/s - AD vind at Bld coll., node 17/s - AD vind at Bld coll., node 16/s
005 ;    0.040 ;  1.0000 ; AD vind at Bld coll., node 19/s - AD vind at Bld coll., node 11/s - AD vind at Bld coll., node 18/s
007 ;    0.102 ;  1.0000 ; AD vind at Bld coll., node 2/s - AD vind at Bld coll., node 2/s
034 ;    0.130 ;  0.9709 ; AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s
035 ;    0.130 ;  0.9709 ; AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s
036 ;    0.130 ;  0.9710 ; AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s
037 ;    0.130 ;  0.9710 ; AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s
040 ;    0.131 ;  0.9716 ; AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s
041 ;    0.131 ;  0.9716 ; AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s
044 ;    0.131 ;  0.9724 ; AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s
045 ;    0.131 ;  0.9724 ; AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s
048 ;    0.132 ;  0.9740 ; AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s
049 ;    0.132 ;  0.9740 ; AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s
056 ;    0.134 ;  0.9765 ; AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s
057 ;    0.134 ;  0.9765 ; AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s
058 ;    0.137 ;  0.9795 ; AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s
059 ;    0.137 ;  0.9795 ; AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s
060 ;    0.140 ;  0.9830 ; AD vind at Bld sin , node 8/s - AD vind at Bld cos, node 8/s
061 ;    0.140 ;  0.9830 ; NoMax - ED Variable speed generator DOF - AD vind at Bld sin , node 8/s - AD vind at Bld cos, node 8/s - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s
062 ;    0.145 ;  0.9867 ; AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s
063 ;    0.145 ;  0.9867 ; AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s
064 ;    0.151 ;  0.9905 ; AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 10/s
065 ;    0.151 ;  0.9905 ; AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s
066 ;    0.153 ;  1.0000 ; AD vind at Bld coll., node 13/s - AD vind at Bld coll., node 13/s
067 ;    0.158 ;  0.9941 ; AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s
068 ;    0.158 ;  0.9941 ; AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s
069 ;    0.167 ;  0.9972 ; AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s
070 ;    0.167 ;  0.9972 ; NoMax - ED Variable speed generator DOF - AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 12/s
071 ;    0.180 ;  0.9993 ; AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s
072 ;    0.180 ;  0.9993 ; AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s
073 ;    0.196 ;  1.0000 ; AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s
074 ;    0.196 ;  1.0000 ; AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s
075 ;    0.219 ;  0.9988 ; AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s
076 ;    0.219 ;  0.9988 ; AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s
077 ;    0.246 ;  0.9959 ; AD vind at Bld cos, node 16/s - AD vind at Bld sin , node 16/s
078 ;    0.246 ;  0.9959 ; AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s
079 ;    0.275 ;  0.9922 ; AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 17/s
080 ;    0.275 ;  0.9921 ; AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s
081 ;    0.315 ;  0.9869 ; AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 18/s
082 ;    0.315 ;  0.9869 ; AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s
084 ;    0.340 ;  0.9836 ; AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s
085 ;    0.340 ;  0.9836 ; AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s
# -----------------------------------------------------------------------
# --- OP 2 - WS 8.0 - RPM 1.00 
# -----------------------------------------------------------------------
# --- "Selected" modes
# ID; Freq [Hz]; Zeta [-]; Mode content
078 ;    0.321 ;  0.0037 ; ED Variable speed generator DOF - ED 1st tower SS - AD vind at Bld coll., node 5/s - AD vind at Bld coll., node 7/s - AD vind at Bld coll., node 8/s
079 ;    0.324 ;  0.0122 ; ED 1st tower FA - AD vind at Bld coll., node 19/s - AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 5/s - AD vind at Bld coll., node 18/s - AD vind at Bld coll., node 18/s - AD vind at Bld coll., node 17/s - AD vind at Bld coll., node 17/s - AD vind at Bld coll., node 16/s - AD vind at Bld coll., node 7/s - AD vind at Bld coll., node 16/s - AD vind at Bld coll., node 15/s - AD vind at Bld coll., node 8/s - AD vind at Bld coll., node 15/s - AD vind at Bld coll., node 14/s - AD vind at Bld coll., node 9/s - AD vind at Bld coll., node 13/s - AD vind at Bld coll., node 14/s - AD vind at Bld coll., node 10/s - AD vind at Bld coll., node 11/s - AD vind at Bld coll., node 12/s - AD vind at Bld coll., node 12/s - AD vind at Bld coll., node 13/s - AD vind at Bld coll., node 11/s - AD vind at Bld coll., node 10/s - AD vind at Bld coll., node 9/s
080 ;    0.650 ;  0.0417 ; ED 1st FLAP sin - ED 1st FLAP cos
081 ;    0.682 ;  0.0396 ; NoMax - ED 1st FLAP cos - ED 1st FLAP sin - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld coll., node 19/s
082 ;    0.692 ;  0.0392 ; ED 1st FLAP coll.
083 ;    1.068 ;  0.0058 ; ED 1st EDGE sin
084 ;    1.103 ;  0.0055 ; ED 1st EDGE cos
085 ;    1.696 ;  0.0222 ; ED 1st EDGE coll. - ED Drivetrain-rot
086 ;    1.900 ;  0.0158 ; ED 2nd FLAP cos
087 ;    1.934 ;  0.0158 ; ED 2nd FLAP sin
088 ;    2.008 ;  0.0153 ; ED 2nd FLAP coll.
089 ;    2.916 ;  0.0104 ; ED 2nd tower FA
090 ;    2.954 ;  0.0102 ; ED 2nd tower SS
091 ;    3.927 ;  0.0537 ; NoMax - ED Drivetrain-rot - ED 1st EDGE coll. - ED Variable speed generator DOF - ED 1st FLAP coll. - ED 2nd FLAP coll.
092 ;    6.143 ;  0.0401 ; ED Nacelle yaw DOF
# --- Skipped (No ED/BD)
001 ;    0.052 ;  0.6568 ; NoMax - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 5/s
002 ;    0.052 ;  0.6568 ; NoMax - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s - AD vind at Bld cos, node 1/s - AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 2/s
003 ;    0.052 ;  0.6569 ; NoMax - AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 1/s
004 ;    0.052 ;  0.6569 ; NoMax - AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s - AD vind at Bld sin , node 2/s - AD vind at Bld cos, node 2/s - AD vind at Bld cos, node 1/s
005 ;    0.052 ;  0.6570 ; NoMax - AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 3/s - AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 4/s
006 ;    0.052 ;  0.6570 ; NoMax - AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 3/s - AD vind at Bld sin , node 3/s - AD vind at Bld cos, node 1/s
007 ;    0.052 ;  0.6572 ; NoMax - AD vind at Bld sin , node 4/s - AD vind at Bld cos, node 4/s - AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s - AD vind at Bld cos, node 3/s
008 ;    0.052 ;  0.6572 ; NoMax - AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s - AD vind at Bld cos, node 4/s - AD vind at Bld sin , node 4/s - AD vind at Bld sin , node 5/s
009 ;    0.052 ;  0.6576 ; NoMax - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld coll., node 5/s
010 ;    0.052 ;  0.6576 ; NoMax - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld sin , node 5/s - AD vind at Bld cos, node 5/s - AD vind at Bld coll., node 5/s
011 ;    0.052 ;  0.6582 ; NoMax - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 7/s
012 ;    0.052 ;  0.6582 ; NoMax - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 6/s - AD vind at Bld sin , node 6/s - AD vind at Bld cos, node 6/s - AD vind at Bld sin , node 5/s
013 ;    0.052 ;  0.6591 ; NoMax - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s - AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 6/s
014 ;    0.052 ;  0.6591 ; NoMax - AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld cos, node 7/s - AD vind at Bld sin , node 7/s - AD vind at Bld cos, node 6/s
015 ;    0.052 ;  0.6601 ; NoMax - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s - AD vind at Bld coll., node 8/s
016 ;    0.052 ;  0.6601 ; NoMax - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s - AD vind at Bld cos, node 8/s - AD vind at Bld sin , node 8/s - AD vind at Bld coll., node 8/s
017 ;    0.053 ;  0.6614 ; NoMax - AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s - AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s - AD vind at Bld coll., node 9/s
018 ;    0.053 ;  0.6614 ; NoMax - AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s - AD vind at Bld sin , node 9/s - AD vind at Bld cos, node 9/s - AD vind at Bld coll., node 9/s
019 ;    0.053 ;  0.6629 ; NoMax - AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s - AD vind at Bld sin , node 11/s
020 ;    0.053 ;  0.6629 ; NoMax - AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld cos, node 10/s - AD vind at Bld sin , node 10/s - AD vind at Bld cos, node 9/s
021 ;    0.053 ;  0.6647 ; NoMax - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld coll., node 11/s
022 ;    0.053 ;  0.6647 ; NoMax - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld cos, node 11/s - AD vind at Bld sin , node 11/s - AD vind at Bld coll., node 11/s
023 ;    0.053 ;  0.6667 ; NoMax - AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 11/s
024 ;    0.053 ;  0.6667 ; NoMax - AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 12/s - AD vind at Bld cos, node 12/s - AD vind at Bld sin , node 12/s - AD vind at Bld cos, node 11/s
025 ;    0.053 ;  0.6690 ; NoMax - AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 13/s - AD vind at Bld coll., node 13/s
026 ;    0.053 ;  0.6690 ; NoMax - AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 13/s - AD vind at Bld sin , node 13/s - AD vind at Bld cos, node 13/s - AD vind at Bld coll., node 13/s
027 ;    0.053 ;  0.6715 ; NoMax - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s - AD vind at Bld coll., node 14/s
028 ;    0.053 ;  0.6715 ; NoMax - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s - AD vind at Bld sin , node 14/s - AD vind at Bld cos, node 14/s - AD vind at Bld coll., node 14/s
029 ;    0.053 ;  0.6743 ; NoMax - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s - AD vind at Bld coll., node 15/s
030 ;    0.053 ;  0.6743 ; NoMax - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s - AD vind at Bld sin , node 15/s - AD vind at Bld cos, node 15/s - AD vind at Bld coll., node 15/s
031 ;    0.053 ;  0.6767 ; NoMax - AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s - AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s - AD vind at Bld coll., node 16/s
032 ;    0.053 ;  0.6767 ; NoMax - AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s - AD vind at Bld sin , node 16/s - AD vind at Bld cos, node 16/s - AD vind at Bld coll., node 16/s
033 ;    0.054 ;  0.6788 ; NoMax - AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 17/s - AD vind at Bld coll., node 17/s
034 ;    0.054 ;  0.6788 ; NoMax - AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 17/s - AD vind at Bld cos, node 17/s - AD vind at Bld sin , node 17/s - AD vind at Bld coll., node 17/s
035 ;    0.054 ;  0.6809 ; NoMax - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld coll., node 18/s
036 ;    0.054 ;  0.6809 ; NoMax - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld sin , node 18/s - AD vind at Bld cos, node 18/s - AD vind at Bld coll., node 18/s
037 ;    0.054 ;  0.6820 ; NoMax - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld coll., node 19/s
038 ;    0.054 ;  0.6820 ; NoMax - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld sin , node 19/s - AD vind at Bld cos, node 19/s - AD vind at Bld coll., node 19/s
# --- Skipped (Damping outside of `posDampRange`=[1e-05, 0.96])
039 ;    0.107 ;  1.0000 ; AD vind at Bld coll., node 6/s - AD vind at Bld coll., node 6/s - AD vind at Bld coll., node 2/s - AD vind at Bld coll., node 4/s - AD vind at Bld coll., node 1/s - AD vind at Bld coll., node 3/s
040 ;    0.108 ;  1.0000 ; AD vind at Bld sin , node 1/s - AD vind at Bld cos, node 1/s - AD vind at Bld coll., node 3/s - AD vind at Bld coll., node 4/s
